Step 1: Assigning value to cell (5, 1)
Cell (0, 0): Domain 000010000
Cell (0, 1): Domain 010000010
Cell (0, 2): Domain 000000001
Cell (0, 3): Domain 000001000
Cell (0, 4): Domain 000000100
Cell (0, 5): Domain 010100010
Cell (0, 6): Domain 010100000
Cell (0, 7): Domain 100000000
Cell (0, 8): Domain 011100010
Cell (1, 0): Domain 110000000
Cell (1, 1): Domain 000100000
Cell (1, 2): Domain 100000110
Cell (1, 3): Domain 100010011
Cell (1, 4): Domain 001000000
Cell (1, 5): Domain 110010011
Cell (1, 6): Domain 010010100
Cell (1, 7): Domain 000011010
Cell (1, 8): Domain 010011010
Cell (2, 0): Domain 111000000
Cell (2, 1): Domain 000001000
Cell (2, 2): Domain 101000110
Cell (2, 3): Domain 100110010
Cell (2, 4): Domain 110010010
Cell (2, 5): Domain 110110010
Cell (2, 6): Domain 000000001
Cell (2, 7): Domain 001110010
Cell (2, 8): Domain 011110010
Cell (3, 0): Domain 001001001
Cell (3, 1): Domain 000010000
Cell (3, 2): Domain 001001100
Cell (3, 3): Domain 101000110
Cell (3, 4): Domain 000100000
Cell (3, 5): Domain 111001110
Cell (3, 6): Domain 110000000
Cell (3, 7): Domain 001000011
Cell (3, 8): Domain 011000011
Cell (4, 0): Domain 000000010
Cell (4, 1): Domain 000000101
Cell (4, 2): Domain 010000000
Cell (4, 3): Domain 101010100
Cell (4, 4): Domain 100010000
Cell (4, 5): Domain 101010100
Cell (4, 6): Domain 000001000
Cell (4, 7): Domain 001110001
Cell (4, 8): Domain 001110001
Cell (5, 0): Domain 001101000
Cell (5, 1): Domain 100000000
Cell (5, 2): Domain 001101000
Cell (5, 3): Domain 001010010
Cell (5, 4): Domain 000000001
Cell (5, 5): Domain 011011010
Cell (5, 6): Domain 010110000
Cell (5, 7): Domain 000000100
Cell (5, 8): Domain 011110010
Cell (6, 0): Domain 100101001
Cell (6, 1): Domain 001000000
Cell (6, 2): Domain 100111010
Cell (6, 3): Domain 010000000
Cell (6, 4): Domain 100011010
Cell (6, 5): Domain 100111011
Cell (6, 6): Domain 000110000
Cell (6, 7): Domain 000111001
Cell (6, 8): Domain 000000100
Cell (7, 0): Domain 110101001
Cell (7, 1): Domain 010000001
Cell (7, 2): Domain 100111000
Cell (7, 3): Domain 101110101
Cell (7, 4): Domain 100011000
Cell (7, 5): Domain 101111101
Cell (7, 6): Domain 000000010
Cell (7, 7): Domain 000111001
Cell (7, 8): Domain 000111001
Cell (8, 0): Domain 000000100
Cell (8, 1): Domain 000000011
Cell (8, 2): Domain 000111010
Cell (8, 3): Domain 000110011
Cell (8, 4): Domain 000011010
Cell (8, 5): Domain 000111011
Cell (8, 6): Domain 001000000
Cell (8, 7): Domain 010000000
Cell (8, 8): Domain 100000000

Step 2: Assigning value to cell (0, 1)
Cell (0, 0): Domain 000010000
Cell (0, 1): Domain 010000010
Cell (0, 2): Domain 000000001
Cell (0, 3): Domain 000001000
Cell (0, 4): Domain 000000100
Cell (0, 5): Domain 010100010
Cell (0, 6): Domain 010100000
Cell (0, 7): Domain 100000000
Cell (0, 8): Domain 011100010
Cell (1, 0): Domain 110000000
Cell (1, 1): Domain 000100000
Cell (1, 2): Domain 100000110
Cell (1, 3): Domain 100010011
Cell (1, 4): Domain 001000000
Cell (1, 5): Domain 110010011
Cell (1, 6): Domain 010010100
Cell (1, 7): Domain 000011010
Cell (1, 8): Domain 010011010
Cell (2, 0): Domain 111000000
Cell (2, 1): Domain 000001000
Cell (2, 2): Domain 101000110
Cell (2, 3): Domain 100110010
Cell (2, 4): Domain 110010010
Cell (2, 5): Domain 110110010
Cell (2, 6): Domain 000000001
Cell (2, 7): Domain 001110010
Cell (2, 8): Domain 011110010
Cell (3, 0): Domain 001001001
Cell (3, 1): Domain 000010000
Cell (3, 2): Domain 001001100
Cell (3, 3): Domain 101000110
Cell (3, 4): Domain 000100000
Cell (3, 5): Domain 111001110
Cell (3, 6): Domain 110000000
Cell (3, 7): Domain 001000011
Cell (3, 8): Domain 011000011
Cell (4, 0): Domain 000000010
Cell (4, 1): Domain 000000101
Cell (4, 2): Domain 010000000
Cell (4, 3): Domain 101010100
Cell (4, 4): Domain 100010000
Cell (4, 5): Domain 101010100
Cell (4, 6): Domain 000001000
Cell (4, 7): Domain 001110001
Cell (4, 8): Domain 001110001
Cell (5, 0): Domain 001101000
Cell (5, 1): Domain 100000000
Cell (5, 2): Domain 001101000
Cell (5, 3): Domain 001010010
Cell (5, 4): Domain 000000001
Cell (5, 5): Domain 011011010
Cell (5, 6): Domain 010110000
Cell (5, 7): Domain 000000100
Cell (5, 8): Domain 011110010
Cell (6, 0): Domain 100101001
Cell (6, 1): Domain 001000000
Cell (6, 2): Domain 100111010
Cell (6, 3): Domain 010000000
Cell (6, 4): Domain 100011010
Cell (6, 5): Domain 100111011
Cell (6, 6): Domain 000110000
Cell (6, 7): Domain 000111001
Cell (6, 8): Domain 000000100
Cell (7, 0): Domain 110101001
Cell (7, 1): Domain 010000001
Cell (7, 2): Domain 100111000
Cell (7, 3): Domain 101110101
Cell (7, 4): Domain 100011000
Cell (7, 5): Domain 101111101
Cell (7, 6): Domain 000000010
Cell (7, 7): Domain 000111001
Cell (7, 8): Domain 000111001
Cell (8, 0): Domain 000000100
Cell (8, 1): Domain 000000011
Cell (8, 2): Domain 000111010
Cell (8, 3): Domain 000110011
Cell (8, 4): Domain 000011010
Cell (8, 5): Domain 000111011
Cell (8, 6): Domain 001000000
Cell (8, 7): Domain 010000000
Cell (8, 8): Domain 100000000

Step 3: Assigning value to cell (4, 1)
Cell (0, 0): Domain 000010000
Cell (0, 1): Domain 010000010
Cell (0, 2): Domain 000000001
Cell (0, 3): Domain 000001000
Cell (0, 4): Domain 000000100
Cell (0, 5): Domain 010100010
Cell (0, 6): Domain 010100000
Cell (0, 7): Domain 100000000
Cell (0, 8): Domain 011100010
Cell (1, 0): Domain 110000000
Cell (1, 1): Domain 000100000
Cell (1, 2): Domain 100000110
Cell (1, 3): Domain 100010011
Cell (1, 4): Domain 001000000
Cell (1, 5): Domain 110010011
Cell (1, 6): Domain 010010100
Cell (1, 7): Domain 000011010
Cell (1, 8): Domain 010011010
Cell (2, 0): Domain 111000000
Cell (2, 1): Domain 000001000
Cell (2, 2): Domain 101000110
Cell (2, 3): Domain 100110010
Cell (2, 4): Domain 110010010
Cell (2, 5): Domain 110110010
Cell (2, 6): Domain 000000001
Cell (2, 7): Domain 001110010
Cell (2, 8): Domain 011110010
Cell (3, 0): Domain 001001001
Cell (3, 1): Domain 000010000
Cell (3, 2): Domain 001001100
Cell (3, 3): Domain 101000110
Cell (3, 4): Domain 000100000
Cell (3, 5): Domain 111001110
Cell (3, 6): Domain 110000000
Cell (3, 7): Domain 001000011
Cell (3, 8): Domain 011000011
Cell (4, 0): Domain 000000010
Cell (4, 1): Domain 000000101
Cell (4, 2): Domain 010000000
Cell (4, 3): Domain 101010100
Cell (4, 4): Domain 100010000
Cell (4, 5): Domain 101010100
Cell (4, 6): Domain 000001000
Cell (4, 7): Domain 001110001
Cell (4, 8): Domain 001110001
Cell (5, 0): Domain 001101000
Cell (5, 1): Domain 100000000
Cell (5, 2): Domain 001101000
Cell (5, 3): Domain 001010010
Cell (5, 4): Domain 000000001
Cell (5, 5): Domain 011011010
Cell (5, 6): Domain 010110000
Cell (5, 7): Domain 000000100
Cell (5, 8): Domain 011110010
Cell (6, 0): Domain 100101001
Cell (6, 1): Domain 001000000
Cell (6, 2): Domain 100111010
Cell (6, 3): Domain 010000000
Cell (6, 4): Domain 100011010
Cell (6, 5): Domain 100111011
Cell (6, 6): Domain 000110000
Cell (6, 7): Domain 000111001
Cell (6, 8): Domain 000000100
Cell (7, 0): Domain 110101001
Cell (7, 1): Domain 010000001
Cell (7, 2): Domain 100111000
Cell (7, 3): Domain 101110101
Cell (7, 4): Domain 100011000
Cell (7, 5): Domain 101111101
Cell (7, 6): Domain 000000010
Cell (7, 7): Domain 000111001
Cell (7, 8): Domain 000111001
